Topic Id,Top Words...
0,17 hospital canadian 11 mmm 29 posting captain heading _m general sister menu stationary granville bu inna muted max tr
1,tho tun luau ill lam mutt nuns anon ammo tu nun 3mm ctr awn events ﬁt mai wk port lulu
2,wa hq la taunt ming t0 u4 nth ay 39 mﬂ vqlume ﬁw aim ne fm il r_ ant 93
3,end unit 16 thet loath es wee university proceeded leave school sisters number tin rent 70 é con 1th 1916
4,hunt lt viii nﬁ kr ar nupot loan aj ems l_ 63 gunmen 117 real district lr_i imm_nos9m1_xnmtne ammr r_r_
5,sisters nursing nil officers gen matron month eon lilloughby official hos latron 42 limit service presented htron 14th genera licia
6,_r mty ______ ou dapot rt ru gun 40 lr mar ﬂour mmnm hospim men vk iuibiig building fm iv
7,18 struck strength ic sm rank granted pkg 12 mind lu nopot ems fro tron wu ranks jn tht ts
8,_i othu nn cam r7 month wag rro comm smmcum ian 01m 211 _f gen _o quarter rank emu _____
9,_ 1 7 3 __ 0 5 mm 4 11 2 ___ 9 8 6 13 um strength tho ﬂ
